name,employees,code
intesa sanpaolo,12248,ITC1
comau,3373,ITC1
iveco,3311,ITC1
università degli studi di torino,2354,ITC1
politecnico di torino,2295,ITC1
libre,1371,ITC1
avio aero,1295,ITC1
reale mutua assicurazioni,1260,ITC1
lavazza,1190,ITC1
seat pagine gialle spa,972,ITC1
diasorin,919,ITC1
miroglio,860,ITC1
fpt industrial,817,ITC1
gruppo banca sella,795,ITC1
fondiaria-sai,765,ITC1
law firm,751,ITC1
regione piemonte,749,ITC1
fondazione i.r.c.c.s. policlinico san matteo pavia,680,ITC1
vittoria assicurazioni,624,ITC1
mine,623,ITC1
csi piemonte,602,ITC1
university of turin,516,ITC1
cnh industrial capital,493,ITC1
italgas,491,ITC1
casa mia,491,ITC1
cnh capital,480,ITC1
asl to3,456,ITC1
italdesign giugiaro,423,ITC1
deltatre,413,ITC1
bitron,410,ITC1
la stampa,407,ITC1
nice,397,ITC1
gruppo assiprime assicurazioni e finanziamenti,384,ITC1
csp,370,ITC1
teksid,370,ITC1
juventus football club,369,ITC1
rgi group,334,ITC1
synergie italia,321,ITC1
bcube spa,317,ITC1
salvatore maugeri foundation,294,ITC1
arpa piemonte,292,ITC1
conbipel spa,290,ITC1
aizoon technology consulting,288,ITC1
fca bank,277,ITC1
teoresi s.p.a,274,ITC1
il pesciolino rosso,267,ITC1
banca intermobiliare di investimenti e gestioni spa,266,ITC1
pininfarina,262,ITC1
edf fenice,259,ITC1
valvitalia s.p.a,256,ITC1
lawer,250,ITC1
università del piemonte orientale,249,ITC1
prima power,249,ITC1
cisalpina tours spa,237,ITC1
banca patrimoni sella & c.,234,ITC1
wow,228,ITC1
rai pubblicità,209,ITC1
sella holding banca,204,ITC1
cooperativa animazione valdocco,200,ITC1
sphera,200,ITC1
"gruppo scai, consulenza aziendale informatica",199,ITC1
consoft sistemi,198,ITC1
geodata engineering s.p.a.,197,ITC1
spea,195,ITC1
praxi s.p.a.,190,ITC1
banca popolare di novara,190,ITC1
azimut yachts,187,ITC1
covisian,187,ITC1
armando testa,177,ITC1
blue reply,174,ITC1
tk,170,ITC1
basicnet s.p.a,167,ITC1
tesisquare® - tesi spa,165,ITC1
pensionarea,162,ITC1
università del piemonte orientale,162,ITC1
olsa group,162,ITC1
domino,162,ITC1
csp spa,160,ITC1
candiolo cancer institute irccs,160,ITC1
sipal s.p.a.,160,ITC1
